HR,EDA,TEMP,ACC_X,ACC_Y,ACC_Z,BVP,IBI,label
126,0.69,37.0,0.1,0.07,-0.05,0.83,0.87,stress
124,0.51,37.5,0.05,0.1,0.09,0.84,0.94,stress
92,0.31,36.4,0.01,0.06,-0.07,0.99,0.71,stress
99,0.6,36.5,-0.06,0.04,0.04,0.83,0.78,stress
102,0.47,36.6,-0.09,0.01,-0.06,0.86,0.81,stress
103,0.47,36.7,-0.04,-0.01,-0.01,0.86,0.92,stress
88,0.44,37.3,0.05,-0.08,0.04,0.89,0.94,stress
72,0.45,36.4,-0.05,-0.02,0.01,0.92,0.81,no_stress
71,0.64,37.2,0.01,0.08,-0.01,0.77,0.89,stress
105,0.17,36.6,0.05,0.06,-0.03,0.86,0.83,stress
61,0.33,36.9,-0.08,-0.06,0.07,0.95,0.83,no_stress
94,0.15,36.9,0.04,-0.01,-0.07,0.84,0.77,no_stress
67,0.63,36.6,-0.08,0.06,-0.01,0.78,0.75,stress
85,0.29,36.8,0.09,-0.09,0.08,0.9,0.77,stress
93,0.73,36.6,-0.0,-0.02,0.07,0.95,0.84,stress
66,0.47,36.1,-0.07,0.07,-0.02,0.72,0.71,stress
127,0.66,36.7,-0.03,-0.02,0.05,0.93,0.93,stress
117,0.79,36.1,-0.02,-0.08,0.06,0.95,0.74,stress
88,0.69,36.6,0.05,0.01,0.08,0.84,0.76,stress
95,0.71,36.9,0.05,0.07,0.01,0.99,0.83,stress
80,0.39,36.9,0.02,0.02,-0.06,0.94,0.88,no_stress
95,0.49,37.0,-0.08,-0.05,-0.05,0.93,0.72,stress
69,0.28,36.1,-0.07,-0.02,-0.04,0.92,0.78,no_stress
83,0.24,37.0,-0.08,-0.01,0.02,0.75,0.94,no_stress
123,0.45,36.5,0.02,0.02,-0.09,0.77,0.77,stress
108,0.52,36.6,0.08,0.05,0.03,0.84,0.78,stress
95,0.34,37.3,-0.01,-0.08,-0.03,0.78,0.91,stress
83,0.5,36.0,-0.07,0.08,-0.04,0.82,0.71,stress
82,0.72,36.9,0.01,-0.1,0.08,0.97,0.82,stress
121,0.49,36.9,0.06,-0.03,-0.01,0.95,0.79,stress
96,0.6,36.6,0.05,-0.09,-0.08,0.89,0.78,stress
71,0.66,36.4,0.08,-0.02,0.07,0.96,0.77,stress
114,0.79,36.4,-0.04,0.01,-0.09,0.94,0.72,stress
72,0.52,37.3,-0.06,0.0,0.05,0.83,0.78,stress
82,0.66,36.7,0.08,-0.07,0.05,0.76,0.71,stress
89,0.77,36.5,0.03,0.03,-0.03,0.85,0.9,stress
76,0.76,36.7,-0.04,-0.09,0.06,0.92,0.8,stress
121,0.2,37.0,0.05,0.05,0.0,0.83,0.81,stress
72,0.38,36.2,0.06,0.09,-0.01,0.9,0.92,stress
118,0.33,36.7,0.02,-0.03,-0.09,0.73,0.86,stress
78,0.16,36.9,0.04,0.0,-0.04,0.92,0.7,stress
108,0.54,37.4,-0.02,-0.02,0.09,0.94,0.94,stress
71,0.62,36.4,0.01,-0.1,-0.02,0.91,0.76,stress
120,0.69,36.5,0.0,-0.02,0.01,0.99,0.73,stress
78,0.19,36.6,0.07,0.06,0.01,0.95,0.89,no_stress
68,0.71,36.9,0.07,0.02,0.02,0.97,0.83,stress
87,0.55,36.5,0.07,-0.08,-0.09,0.98,0.81,stress
111,0.59,36.8,-0.1,0.07,-0.03,0.94,0.76,stress
75,0.74,37.2,0.05,0.01,0.04,0.9,0.84,stress
128,0.54,37.1,0.05,0.07,-0.06,0.7,0.77,stress
71,0.34,36.7,0.04,0.02,-0.06,0.84,0.93,no_stress
84,0.68,37.3,0.05,0.01,-0.1,0.87,0.75,stress
111,0.35,36.8,0.07,-0.08,-0.01,0.79,0.92,stress
112,0.12,36.8,-0.01,-0.07,0.08,0.8,0.84,stress
82,0.68,36.1,0.0,0.09,-0.09,0.99,0.91,stress
75,0.34,37.5,-0.08,-0.05,-0.06,0.97,0.88,stress
116,0.64,36.2,-0.02,0.1,-0.04,0.95,0.87,stress
98,0.35,36.3,0.03,0.01,0.05,0.82,0.78,no_stress
112,0.7,36.1,0.06,-0.07,0.03,0.7,0.76,stress
101,0.25,37.0,-0.06,-0.08,-0.02,0.72,0.75,stress
117,0.78,36.3,-0.07,-0.06,0.05,0.79,0.91,stress
98,0.65,36.3,0.03,0.09,0.02,0.7,0.91,stress
73,0.18,36.1,-0.1,-0.02,0.08,0.71,0.81,stress
64,0.5,36.2,-0.06,-0.02,0.06,0.97,0.73,stress
94,0.79,36.9,-0.09,-0.04,-0.05,0.91,0.8,stress
77,0.43,37.0,-0.07,-0.07,-0.05,0.79,0.85,no_stress
68,0.23,36.6,-0.06,-0.0,-0.07,0.74,0.81,no_stress
117,0.44,36.7,-0.02,-0.07,-0.03,0.85,0.9,stress
76,0.46,37.0,-0.02,0.07,0.1,0.7,0.95,stress
66,0.62,36.0,0.07,-0.03,-0.02,0.98,0.75,stress
105,0.59,36.5,0.0,-0.03,-0.06,0.82,0.81,stress
72,0.38,37.5,0.04,-0.01,0.05,0.82,0.81,stress
99,0.25,36.9,-0.08,-0.01,0.01,0.82,0.78,no_stress
101,0.55,36.4,-0.05,0.1,-0.07,0.72,0.75,stress
68,0.4,36.8,0.04,0.01,-0.02,0.89,0.72,stress
109,0.19,36.5,-0.09,-0.08,-0.02,0.92,0.92,stress
86,0.73,36.8,-0.0,0.02,0.05,0.9,0.8,stress
125,0.58,36.2,0.02,-0.07,-0.1,0.74,0.82,stress
64,0.58,36.2,0.02,-0.09,-0.05,0.87,0.93,stress
88,0.68,36.2,-0.1,0.09,0.0,0.87,0.89,stress
96,0.47,37.4,-0.04,0.05,-0.05,0.96,0.73,stress
97,0.67,37.1,0.03,0.1,0.03,0.81,0.84,stress
67,0.45,36.2,-0.07,-0.0,-0.0,0.81,0.81,no_stress
124,0.15,36.3,0.04,0.01,-0.03,0.89,0.9,stress
76,0.38,37.1,0.05,-0.07,0.09,0.89,0.88,stress
104,0.45,36.2,0.1,-0.05,0.03,0.84,0.87,stress
63,0.6,36.4,-0.06,0.07,-0.07,0.83,0.79,stress
95,0.17,37.4,0.07,-0.03,0.01,0.85,0.9,stress
129,0.2,36.4,0.0,0.07,0.06,0.96,0.71,stress
90,0.28,37.0,-0.03,0.04,0.04,0.84,0.74,stress
78,0.29,37.5,-0.08,-0.06,-0.07,0.98,0.78,stress
120,0.61,36.6,0.05,0.0,0.09,0.85,0.72,stress
113,0.28,36.0,-0.05,0.04,-0.01,0.98,0.76,stress
98,0.54,36.4,-0.03,-0.05,-0.07,0.95,0.91,stress
78,0.45,37.2,-0.09,0.07,-0.06,0.81,0.94,stress
98,0.5,37.3,0.06,0.01,-0.08,0.96,0.78,stress
126,0.69,37.2,0.05,-0.07,0.06,0.73,0.77,stress
104,0.38,36.2,0.05,0.02,-0.08,0.98,0.77,stress
72,0.64,37.2,-0.04,0.1,-0.07,0.89,0.77,stress
